category,subcategory,name,price,url
fruits,Овощи и фрукты,"Груши Вильямс, весовые",125.99,https://lenta.com/product/grusha-vilyams-ves-044184/
fruits,Овощи и фрукты,"Манго спелое Палмер, весовое",267.99,https://lenta.com/product/mango-speloe-palmer-ves-742345/
fruits,Овощи и фрукты,"Лук репчатый, весовой",25.00,https://lenta.com/product/luk-repchatyjj-ves-1kg-303640/
fruits,Овощи и фрукты,"Бананы, весовые",139.99,https://lenta.com/product/banany-ves-011230/
fruits,Овощи и фрукты,"Картофель новый урожай, весовой",61.69,https://lenta.com/product/kartofel-novyjj-urozhajj-ves-egipet-674938/
fruits,Овощи и фрукты,"Морковь, весовая",27.50,https://lenta.com/product/morkov-ves-1kg-303639/
fruits,Овощи и фрукты,"Перец красный, весовой",91.00,https://lenta.com/product/perec-krasnyjj-ves-041203/
fruits,Овощи и фрукты,"Огурцы короткоплодные колючие, весовые",80.00,https://lenta.com/product/ogurcy-korotkoplodnye-kolyuchie-ves-168210/
fruits,Овощи и фрукты,"Апельсины, весовые",48.99,https://lenta.com/product/apelsiny-ves-011225/
fruits,Овощи и фрукты,"Лимоны, весовые",53.00,https://lenta.com/product/limony-ves-094429/
fruits,Овощи и фрукты,"Томаты розовые, Азербайджан, весовые",150.00,https://lenta.com/product/tomaty-rozovye-azerbajjdzhan-ves-163593/
fruits,Овощи и фрукты,"Капуста белокочанная новый урожай, весовая",79.99,https://lenta.com/product/kapusta-belokochannaya-novyjj-urozhajj-ves-029221/
fruits,Овощи и фрукты,"Кукуруза маринованная Sweet&Chilli BBQ, 450г",289.99,https://lenta.com/product/kukuruza-sweetchilli-450g-720024/
fruits,Овощи и фрукты,Свекла весовая,25.00,https://lenta.com/product/svekla-ves-1kg-300884/
fruits,Овощи и фрукты,"Мангостин, 2шт",549.99,https://lenta.com/product/mangostin-2sht-725899/
fruits,Овощи и фрукты,"Чурчхела с фундуком в гранатовом соке, весовая",660.00,https://lenta.com/product/churchhela-s-fundukom-v-granatovom-soke-ves-rossiya-667768/
fruits,Овощи и фрукты,"Смесь сладкая фруктово-ореховая ТВЕРДЫЙ ЗНАК Полезный перекус, 150г",269.99,https://lenta.com/product/smes-sladkaya-koktejjl-orehi-suhofrukty-rossiya-150g-532244/
fruits,Овощи и фрукты,"Огурцы короткоплодные ЛЕНТА FRESH колючие, 450г",129.99,https://lenta.com/product/ogurcy-korotkoplodnye-kolyuchie-rossiya-450g-520053/
fruits,Овощи и фрукты,"Морковь мытая, весовая",50.00,https://lenta.com/product/morkov-mytaya-ves-041424/
fruits,Овощи и фрукты,Салат Айсберг,149.99,https://lenta.com/product/salat-ajjsberg-kochan-1sht-198359/
fruits,Овощи и фрукты,"Киви, весовое",100.00,https://lenta.com/product/kivi-ves-019377/
fruits,Овощи и фрукты,"Мандарины, фасованные, весовые",379.98,https://lenta.com/product/mandariny-fas-ves-023670/
fruits,Овощи и фрукты,"Банан кубики, фасованный, весовой",250.00,https://lenta.com/product/banan-kubik-fas-ves-697558/
fruits,Овощи и фрукты,"Редис, 500г",99.99,https://lenta.com/product/redis-500g-172378/
fruits,Овощи и фрукты,"Крем-суп Овощной со сливками, 1л",349.99,https://lenta.com/product/krem-sup-ovoshchnojj-so-slivkami-sterilizovannyjj-i-asepticheski-upakovan-belarus-1000ml-627466/
fruits,Овощи и фрукты,"Ягодный микс мини АРТФРУТ Голубика и физалис, 150г",369.99,https://lenta.com/product/yagodnyjj-mini-miks-golubfiz-marokko-150g-737995/
